,neighbourhood
0,Ashfield
1,Auburn
2,Bankstown
3,Blacktown
4,Botany Bay
5,Burwood
6,Camden
7,Campbelltown
8,Canada Bay
9,Canterbury
10,City Of Kogarah
11,Fairfield
12,Holroyd
13,Hornsby
14,Hunters Hill
15,Hurstville
16,Ku-Ring-Gai
17,Lane Cove
18,Leichhardt
19,Liverpool
20,Manly
21,Marrickville
22,Mosman
23,North Sydney
24,Parramatta
25,Penrith
26,Pittwater
27,Randwick
28,Rockdale
29,Ryde
30,Strathfield
31,Sutherland Shire
32,Sydney
33,The Hills Shire
34,Warringah
35,Waverley
36,Willoughby
37,Woollahra
